op_setting_1,op_setting_2,op_setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21
0.0021,0,100,518.67,643.23,1607.24,1421.89,14.62,21.61,551.74,2388.17,9101.51,1.3,48.02,520.43,2388.13,8173.6,8.4999,0.03,395,2388,100,38.5,23.1658
25.0001,0.62,60,462.54,537.6,1264.52,1068.71,7.05,9.03,175.12,1915.93,8045.5,0.94,37.09,164.42,2028.84,7899.91,11.0082,0.02,310,1915,84.93,14.25,8.4478
20.0007,0.7018,100,491.19,608.28,1496.25,1266.66,9.35,13.66,333.44,2324.37,8764.99,1.07,44.88,314.34,2388.5,8092.01,9.3134,0.03,367,2324,100,24.19,14.4525
42.0005,0.84,100,445,550.2,1365.24,1141.09,3.91,5.72,138.31,2212.6,8374.09,1.02,42.57,130.32,2388.67,8125.55,9.4164,0.02,334,2212,100,10.64,6.2867
20.008,0.7007,100,491.19,608.16,1500.71,1262.26,9.35,13.66,334.21,2324.34,8765.17,1.07,45.01,313.9,2388.45,8090.82,9.3171,0.03,368,2324,100,24.14,14.5274
42.0067,0.84,100,445,550.2,1366.9,1140.9,3.91,5.72,138.65,2212.54,8364.53,1.02,42.73,130.27,2388.67,8123.73,9.4193,0.02,333,2212,100,10.53,6.3153
24.9998,0.6203,60,462.54,537.59,1267.59,1058.97,7.05,9.03,176.22,1915.98,8047.37,0.94,37.4,164.18,2028.89,7912.68,10.9958,0.02,310,1915,84.93,14.27,8.5372
0.0005,0,100,518.67,643.69,1602.77,1428.44,14.62,21.61,551.45,2388.21,9107.02,1.3,48.05,519.89,2388.15,8174.94,8.5244,0.03,396,2388,100,38.42,23.0753
34.9996,0.8411,100,449.44,557.14,1378.3,1142.14,5.48,8.01,194.93,2223.72,8390.11,1.02,42.55,181.99,2388.88,8105.9,9.4751,0.02,336,2223,100,14.88,8.7208
0.0007,0,100,518.67,643.59,1600.61,1427.75,14.62,21.61,551.93,2388.17,9108.63,1.3,48.14,519.9,2388.26,8179.67,8.5307,0.03,397,2388,100,38.48,23.1461
42.0062,0.8414,100,445,550.53,1368.95,1136.35,3.91,5.72,137.75,2212.56,8372.93,1.02,42.71,130.48,2388.71,8124.88,9.4144,0.02,335,2212,100,10.41,6.2234
0.0048,-0.0003,100,518.67,642.49,1600.25,1413.06,14.62,21.58,562.31,2388.24,9094.96,1.31,47.83,529.87,2388.23,8163.79,8.2956,0.03,395,2388,100,39.25,23.6258
0.0032,0.0002,100,518.67,643.03,1596.08,1416.81,14.62,21.57,562.17,2388.34,9101.98,1.31,47.84,530.15,2388.32,8169.1,8.2843,0.03,396,2388,100,39.32,23.6966
-0.0043,0.0005,100,518.67,643.08,1589.95,1412.52,14.62,21.57,562.98,2388.27,9100.09,1.31,47.85,530.55,2388.37,8168.81,8.2595,0.03,396,2388,100,39.24,23.6371
0.0013,0,100,518.67,643.07,1597.27,1405.37,14.62,21.57,562.87,2388.31,9095.18,1.31,47.75,531.04,2388.33,8171.97,8.261,0.03,396,2388,100,39.34,23.5641
0.0002,0.0002,100,518.67,643.27,1601.72,1416.36,14.62,21.57,563.66,2388.32,9100.44,1.31,47.91,531.52,2388.34,8174.88,8.3035,0.03,396,2388,100,39.44,23.6355
0.0013,-0.0004,100,518.67,642.94,1594.4,1418.57,14.62,21.57,563.72,2388.33,9109.63,1.31,47.92,532.15,2388.36,8172.68,8.2843,0.03,394,2388,100,39.45,23.6875
0.0028,-0.0002,100,518.67,643.44,1600.92,1419.41,14.62,21.57,565.65,2388.41,9104.64,1.31,47.9,532.58,2388.37,8176.74,8.2774,0.03,395,2388,100,39.58,23.663
-0.0044,0.0005,100,518.67,643.25,1600.09,1424.31,14.62,21.58,565.73,2388.45,9112.13,1.31,48.14,532.97,2388.39,8182.71,8.2854,0.03,395,2388,100,39.45,23.6904
0.0011,-0.0002,100,518.67,642.79,1604.07,1419.54,14.62,21.58,565.29,2388.39,9109.34,1.31,47.82,533.28,2388.36,8182.89,8.2569,0.03,395,2388,100,39.64,23.7015
0.0016,0.0002,100,518.67,642.98,1599.07,1414.03,14.62,21.57,565.52,2388.4,9104.65,1.31,48.03,533.17,2388.4,8181.26,8.2415,0.03,395,2388,100,39.59,23.6993
-0.0037,0,100,518.67,643.5,1591.86,1414.76,14.62,21.58,567.19,2388.45,9119.69,1.31,47.95,533.69,2388.49,8185.98,8.2385,0.03,395,2388,100,39.68,23.7578
0.0009,0.0002,100,518.67,642.98,1602.37,1420,14.62,21.57,567.14,2388.41,9117.5,1.31,48.14,533.98,2388.42,8188.63,8.2529,0.03,394,2388,100,39.5,23.67
-0.0032,-0.0004,100,518.67,643.39,1608.08,1423.6,14.62,21.58,567.19,2388.5,9115.11,1.31,48.2,535.31,2388.5,8187.29,8.2238,0.03,397,2388,100,39.64,23.7415
0.0008,0.0005,100,518.67,643.37,1601.5,1425.56,14.62,21.57,567.59,2388.46,9116.96,1.31,47.94,534.78,2388.52,8192.75,8.2387,0.03,396,2388,100,39.56,23.7093
-0.0015,-0.0001,100,518.67,643.84,1609.87,1423.91,14.62,21.58,569.33,2388.51,9124.17,1.32,48.17,536.81,2388.51,8188.3,8.2033,0.03,397,2388,100,39.67,23.9505
42.0003,0.84,100,445,550.08,1354.33,1121.42,3.91,5.71,139,2211.66,8319.81,1.02,42.18,130.76,2387.73,8076.35,9.3937,0.02,332,2212,100,10.67,6.4152
10.002,0.2503,100,489.05,605.48,1504.24,1312.61,10.52,15.5,393.66,2319,8774.57,1.26,45.69,371.22,2388.2,8117.71,8.6993,0.03,372,2319,100,28.54,17.1024
9.9992,0.2518,100,489.05,605.34,1511.44,1315.63,10.52,15.5,393.66,2319.01,8762.34,1.26,45.57,371.68,2388.27,8121.22,8.686,0.03,372,2319,100,28.4,17.0878
42.0061,0.8401,100,445,550.24,1358.43,1124.01,3.91,5.72,138.09,2211.69,8319.39,1.02,42.27,130.24,2387.72,8079.42,9.4298,0.02,333,2212,100,10.4,6.4204
0.0007,0,100,518.67,642.56,1590.73,1415.87,14.62,21.61,552.68,2388.15,9045.53,1.3,47.6,520.62,2388.2,8114.99,8.458,0.03,396,2388,100,38.76,23.0904
0.0023,0,100,518.67,642.4,1597.34,1418.1,14.62,21.61,552.46,2388.19,9044.81,1.3,47.8,519.73,2388.3,8120.8,8.5067,0.03,396,2388,100,38.61,23.3154
42.0077,0.841,100,445,550.32,1362.44,1132.93,3.91,5.71,138.37,2211.5,8304.1,1.02,42.32,130.31,2387.49,8064.35,9.398,0.02,332,2212,100,10.35,6.3267
0.0014,0.0005,100,518.67,643.35,1597.91,1423.67,14.62,21.61,552.28,2388.19,9042.62,1.3,47.77,520.03,2388.24,8119.5,8.4826,0.03,395,2388,100,38.48,23.1147
41.9984,0.8415,100,445,550.68,1364.4,1133.04,3.91,5.72,137.97,2211.48,8308.87,1.02,42.54,129.85,2387.48,8063.19,9.4263,0.02,333,2212,100,10.36,6.3365
0.0029,0.0017,100,518.67,643.27,1601.29,1427.81,14.62,21.61,552.36,2388.21,9038.77,1.3,47.82,520.53,2388.26,8121.93,8.5385,0.03,397,2388,100,38.62,23.2477
0.0018,0,100,518.67,643.63,1597.63,1424.58,14.62,21.61,552.49,2388.21,9046.75,1.3,47.77,520.62,2388.2,8118.01,8.4884,0.03,394,2388,100,38.63,23.1446
0.0008,0,100,518.67,643.09,1602.7,1423.69,14.62,21.61,551.57,2388.3,9043.42,1.3,47.96,520.46,2388.27,8114.68,8.4804,0.03,394,2388,100,38.28,23.1058
25.0051,0.621,60,462.54,537.38,1267.98,1061.92,7.05,9.03,175.54,1915.11,8001.24,0.94,37.3,164.28,2027.94,7860.64,10.9548,0.02,308,1915,84.93,14.15,8.4818
0.0004,0.0008,100,518.67,643.4,1593.07,1417.27,14.62,21.61,552.39,2388.19,9047.21,1.3,48.02,519.88,2388.23,8119.12,8.4641,0.03,395,2388,100,38.77,23.1372
20.0061,0.7,100,491.19,608.67,1490.45,1259.5,9.35,13.66,333.97,2323.96,8715.38,1.08,44.74,313.91,2388.14,8046.04,9.2988,0.03,368,2324,100,24.3,14.5332
35.0044,0.8415,100,449.44,556.4,1374.64,1141.52,5.48,8,193.69,2222.64,8334.93,1.02,42.38,182.19,2387.74,8046.56,9.3972,0.02,337,2223,100,14.72,8.9304
20.0076,0.7016,100,491.19,608.83,1493.19,1269.26,9.35,13.66,333.65,2324,8710.57,1.07,45,314.3,2388.11,8045.74,9.3023,0.03,367,2324,100,24.19,14.5515
10.0065,0.25,100,489.05,605.71,1509.73,1320.43,10.52,15.5,393.37,2319.13,8764.62,1.26,46.14,370.72,2388.38,8105.94,8.7131,0.03,372,2319,100,28.28,17.0144
0.0026,0,100,518.67,643.13,1598,1430.41,14.62,21.61,551.48,2388.25,9042.69,1.3,47.91,519.98,2388.27,8118.51,8.5039,0.03,396,2388,100,38.33,23.1174
0.0027,0.0014,100,518.67,643.52,1601.96,1432.29,14.62,21.61,551.93,2388.34,9036.67,1.3,48.18,519.66,2388.33,8106.21,8.5085,0.03,397,2388,100,38.47,23.0763
0.0013,0,100,518.67,643.48,1597.31,1430.02,14.62,21.61,551.4,2388.27,9033.3,1.3,48.18,520.24,2388.25,8112.66,8.5441,0.03,397,2388,100,38.4,23.0868
42.003,0.8419,100,445,550.06,1365.79,1132.85,3.91,5.71,138.66,2211.37,8310.02,1.02,42.93,130.63,2387.34,8061.55,9.4741,0.02,333,2212,100,10.56,6.2864
20.0074,0.7007,100,491.19,608.57,1502.99,1266.93,9.35,13.66,333.29,2324.08,8712.27,1.08,44.85,313.75,2388.17,8037.25,9.2817,0.03,368,2324,100,24.39,14.5614
42.0038,0.8403,100,445,550.6,1372.62,1140.06,3.91,5.72,138.09,2211.39,8305.99,1.02,42.79,129.92,2387.33,8058.38,9.4848,0.02,331,2212,100,10.49,6.2721
25.0043,0.62,60,462.54,537.54,1273.31,1062.27,7.05,9.03,175.18,1914.88,8004.31,0.94,37.22,163.86,2027.82,7861.97,11.0339,0.02,309,1915,84.93,14.23,8.3897
42.0057,0.8418,100,445,550.64,1358.99,1142.69,3.91,5.71,137.47,2211.32,8303.66,1.02,42.67,129.75,2387.3,8059.31,9.5123,0.02,333,2212,100,10.5,6.4191
42.0052,0.8401,100,445,550.68,1369.13,1139.04,3.91,5.71,138.6,2211.19,8299.77,1.02,42.65,129.97,2387.27,8062.04,9.4792,0.02,334,2212,100,10.45,6.2747
25.0052,0.62,60,462.54,537.22,1270.13,1051.68,7.05,9.03,175.35,1915.44,8013.34,0.94,36.91,164.5,2028.27,7874.19,10.9695,0.02,310,1915,84.93,14.15,8.6666
42.0033,0.8417,100,445,549.7,1354.94,1128.23,3.91,5.71,138.55,2211.9,8331.56,1.02,42.29,130.38,2387.98,8086.6,9.4272,0.02,332,2212,100,10.52,6.2854
20.0009,0.701,100,491.19,607.99,1490.68,1255.64,9.35,13.66,333.64,2324.09,8733.47,1.08,44.62,314.25,2388.18,8060.84,9.2387,0.03,367,2324,100,24.31,14.535
20.0002,0.7,100,491.19,607.77,1495.86,1256.42,9.35,13.66,334.07,2324.03,8727.67,1.08,44.73,314.42,2388.21,8059.28,9.281,0.03,368,2324,100,24.43,14.6843
10.0017,0.2508,100,489.05,604.94,1511.43,1314.3,10.52,15.5,393.67,2319.01,8787.32,1.26,45.69,370.95,2388.22,8135.23,8.6936,0.03,370,2319,100,28.53,17.0433
42.0047,0.841,100,445,549.85,1357.78,1131.98,3.91,5.72,138.05,2211.87,8320.78,1.02,42.42,130.25,2387.93,8086.13,9.4016,0.02,333,2212,100,10.42,6.404
25.0038,0.62,60,462.54,537.17,1267.97,1056.23,7.05,9.03,175.24,1915.28,8013.53,0.94,37.03,164.33,2028.21,7871.59,10.9647,0.02,308,1915,84.93,14.22,8.5155
25.0008,0.62,60,462.54,537.45,1271.35,1054.63,7.05,9.03,175.47,1915.32,8015.75,0.94,36.97,164.87,2028.2,7876.25,10.9592,0.02,308,1915,84.93,14.11,8.6026
0.0024,0.0009,100,518.67,643.31,1599.51,1422.71,14.62,21.61,552.27,2388.15,9073.04,1.3,47.76,520.27,2388.21,8139.16,8.4812,0.03,394,2388,100,38.75,23.1212
0.0016,0,100,518.67,642.93,1595.81,1420.56,14.62,21.61,552.08,2388.15,9057.9,1.3,47.75,520.54,2388.14,8131.77,8.4813,0.03,396,2388,100,38.58,23.2055
20.0047,0.7,100,491.19,607.92,1491.76,1260.32,9.35,13.66,333.81,2324.05,8729,1.07,44.8,314.12,2388.23,8063.33,9.2726,0.03,368,2324,100,24.4,14.6777
10.0064,0.25,100,489.05,605.59,1509.8,1314.83,10.52,15.5,393.86,2319.15,8773.66,1.26,45.79,370.85,2388.29,8134.4,8.719,0.03,371,2319,100,28.32,17.0196
42.0004,0.8406,100,445,550.21,1358.08,1140.66,3.91,5.72,137.9,2211.83,8324.76,1.02,42.48,130.61,2387.85,8086.48,9.4214,0.02,332,2212,100,10.59,6.3265
9.9987,0.25,100,489.05,606.36,1506.42,1326.5,10.52,15.5,393.24,2319.12,8787.03,1.26,45.63,371.11,2388.29,8132.06,8.7228,0.03,371,2319,100,28.32,16.9355
42.0076,0.84,100,445,549.98,1366.45,1143.67,3.91,5.72,137.75,2211.8,8326.72,1.02,42.41,130.21,2387.85,8083.73,9.4283,0.02,334,2212,100,10.61,6.3953
35.0042,0.84,100,449.44,557.09,1373.83,1139.54,5.48,8,193.78,2222.93,8352.85,1.02,42.69,182.28,2388.02,8062.97,9.3959,0.02,335,2223,100,14.86,8.8358
42.0015,0.84,100,445,550.65,1362.31,1151.37,3.91,5.72,138.15,2211.71,8326.45,1.02,42.67,130.26,2387.77,8082.59,9.4517,0.02,335,2212,100,10.57,6.2904
20.0023,0.7012,100,491.19,608.32,1497.76,1269.59,9.35,13.66,333.7,2324.07,8731.82,1.07,44.98,313.9,2388.27,8058.36,9.2807,0.03,368,2324,100,24.32,14.6114
0.0007,0,100,518.67,643.14,1593.29,1422.83,14.62,21.61,551.45,2388.24,9065.34,1.3,48.13,520.1,2388.28,8130.04,8.551,0.03,395,2388,100,38.48,23.1574
10.0057,0.2511,100,489.05,605.73,1504.25,1325.67,10.52,15.5,393.6,2319.15,8785.43,1.26,46.06,370.51,2388.32,8128.81,8.6909,0.03,372,2319,100,28.3,16.9758
10.0024,0.2502,100,489.05,605.29,1507.72,1328.89,10.52,15.5,392.28,2319.18,8777.06,1.26,46.05,370.04,2388.33,8125,8.717,0.03,372,2319,100,28.35,16.8157
24.9998,0.6209,60,462.54,537.89,1273.03,1056.83,7.05,9.03,175.52,1915.22,8014.13,0.94,37.31,164.62,2028.22,7873.26,11.0225,0.02,310,1915,84.93,14.1,8.403
41.9984,0.84,100,445,550.31,1363.57,1142.42,3.91,5.72,137.65,2211.67,8322.53,1.02,42.62,130.57,2387.8,8081.46,9.5164,0.02,331,2212,100,10.56,6.2055
0.0015,0.0007,100,518.67,644.09,1597.66,1432.46,14.62,21.61,551.2,2388.22,9058.79,1.3,48.16,519.38,2388.22,8131.08,8.5098,0.03,396,2388,100,38.43,23.0573
20.0053,0.7,100,491.19,608.16,1499.29,1269.01,9.35,13.66,333.41,2324.14,8728.18,1.07,45.08,313.9,2388.27,8051.05,9.3542,0.03,368,2324,100,24.21,14.4826
0.002,-0.0001,100,518.67,643.04,1593.58,1407.5,14.62,21.61,552.93,2388.14,9065.87,1.3,47.7,520.87,2388.07,8133.93,8.4569,0.03,394,2388,100,38.81,23.2964
0.0032,0.0001,100,518.67,643.05,1599.15,1412.19,14.62,21.61,553.17,2388.08,9054.92,1.3,47.68,521.19,2388.12,8137.28,8.4615,0.03,396,2388,100,38.88,23.2741
0.0014,-0.0004,100,518.67,642.6,1601.85,1416.19,14.62,21.61,552.37,2388.18,9055.92,1.3,47.79,520.66,2388.18,8133.28,8.4831,0.03,394,2388,100,38.78,23.3279
0.0004,-0.0003,100,518.67,642.83,1592.54,1413.78,14.62,21.61,553.06,2388.16,9061.92,1.3,47.82,521.01,2388.19,8131.3,8.4772,0.03,394,2388,100,38.63,23.2837
-0.0022,0.0004,100,518.67,643.4,1596.38,1414.82,14.62,21.61,553.41,2388.2,9059.83,1.3,47.72,521.17,2388.22,8132.18,8.4753,0.03,395,2388,100,38.74,23.2601
0.0041,0.0002,100,518.67,642.99,1601.46,1420.31,14.62,21.61,552.62,2388.13,9059.06,1.3,47.91,520.72,2388.17,8131.48,8.4891,0.03,394,2388,100,38.63,23.0709
0.0045,-0.0002,100,518.67,643.09,1596.02,1414.67,14.62,21.61,552.06,2388.18,9049.54,1.3,47.74,520.69,2388.23,8125.42,8.4578,0.03,394,2388,100,38.66,23.1036
0.0013,0,100,518.67,643.33,1595.19,1415.52,14.62,21.61,552.52,2388.21,9053.94,1.3,47.82,520.66,2388.19,8132.92,8.4412,0.03,394,2388,100,38.85,23.2695
0.0016,0,100,518.67,642.56,1596.58,1419.5,14.62,21.61,552.35,2388.15,9058.33,1.3,47.87,520.72,2388.14,8131.5,8.4889,0.03,395,2388,100,38.59,23.2573
-0.0048,-0.0001,100,518.67,643.24,1593.44,1407.26,14.62,21.61,551.75,2388.18,9056.18,1.3,47.79,520.57,2388.15,8131.42,8.49,0.03,396,2388,100,38.57,23.1647
-0.0014,0.0002,100,518.67,643.64,1592.94,1425.39,14.62,21.61,552.46,2388.18,9059.84,1.3,47.79,520.66,2388.19,8131.15,8.5266,0.03,394,2388,100,38.55,23.1883
0.0028,-0.0005,100,518.67,643.21,1598.06,1418.33,14.62,21.61,552.6,2388.19,9056.87,1.3,47.78,521.03,2388.2,8132.64,8.4805,0.03,394,2388,100,38.53,23.2511
0.0013,-0.0005,100,518.67,643.34,1590.67,1421.9,14.62,21.61,552.45,2388.2,9050.38,1.3,47.94,520.83,2388.22,8127.71,8.4345,0.03,395,2388,100,38.52,23.2165
0.0007,0.0003,100,518.67,643.08,1591.77,1408.15,14.62,21.61,552.88,2388.23,9062.35,1.3,47.81,521.05,2388.21,8130.65,8.4798,0.03,395,2388,100,38.68,23.177
-0.0009,0.0003,100,518.67,643.62,1594,1411.27,14.62,21.61,552.92,2388.18,9057.93,1.3,47.81,520.38,2388.13,8125.74,8.4651,0.03,395,2388,100,38.79,23.214
0.0003,0.0004,100,518.67,643.15,1591.14,1417.39,14.62,21.61,552.64,2388.19,9054.96,1.3,47.82,520.39,2388.2,8130.56,8.4725,0.03,395,2388,100,38.69,23.179
0.0018,-0.0002,100,518.67,643,1592.45,1414.95,14.62,21.61,552.61,2388.22,9058.24,1.3,47.86,520.52,2388.14,8129.39,8.4876,0.03,395,2388,100,38.61,23.2267
-0.0028,0.0004,100,518.67,643.23,1592.54,1416.81,14.62,21.61,552.83,2388.14,9060.67,1.3,47.74,520.58,2388.12,8130.78,8.45,0.03,394,2388,100,38.76,23.2107
-0.0022,0,100,518.67,643.63,1596.11,1416.52,14.62,21.61,552.42,2388.15,9048.86,1.3,47.93,520.91,2388.14,8127.12,8.5308,0.03,396,2388,100,38.48,23.2928
-0.0036,0.0003,100,518.67,643.84,1597.45,1423.06,14.62,21.61,552.05,2388.24,9043.46,1.3,47.94,520.59,2388.14,8124.46,8.4474,0.03,395,2388,100,38.79,23.1369
-0.0001,0.0003,100,518.67,643.52,1601.85,1418.62,14.62,21.61,553.14,2388.22,9056.59,1.3,47.9,520.44,2388.18,8131.83,8.5095,0.03,395,2388,100,38.64,23.1879
-0.0032,-0.0001,100,518.67,642.81,1600.65,1417.51,14.62,21.61,553.3,2388.19,9052.76,1.3,47.82,520.73,2388.13,8131.8,8.4909,0.03,395,2388,100,38.64,23.1085
0.0033,-0.0003,100,518.67,643.24,1601.73,1424.31,14.62,21.61,551.98,2388.19,9048.28,1.3,47.94,520.47,2388.21,8126.59,8.5074,0.03,395,2388,100,38.61,23.1997
-0.004,0.0001,100,518.67,642.84,1598.27,1425.34,14.62,21.61,552.34,2388.2,9052.34,1.3,47.83,520.12,2388.2,8133.47,8.4937,0.03,395,2388,100,38.75,23.2208
-0.0013,-0.0004,100,518.67,643.57,1599.03,1414.94,14.62,21.61,552.53,2388.13,9050.86,1.3,47.76,519.81,2388.21,8128.16,8.4731,0.03,394,2388,100,38.68,23.142
-0.0037,-0.0003,100,518.67,643.77,1598.39,1420.39,14.62,21.61,551.44,2388.23,9056.45,1.3,48.01,520.14,2388.18,8122.11,8.4745,0.03,395,2388,100,38.56,23.1523
-0.0032,-0.0002,100,518.67,643.62,1595.79,1428.57,14.62,21.61,552.27,2388.24,9059.52,1.3,48.01,520.09,2388.21,8123.36,8.5116,0.03,395,2388,100,38.67,23.0891
-0.0013,-0.0002,100,518.67,643.24,1602.18,1425.78,14.62,21.61,551.64,2388.2,9045.57,1.3,47.97,519.98,2388.22,8131.85,8.5125,0.03,395,2388,100,38.62,23.1899
-0.0022,-0.0005,100,518.67,643.38,1597.08,1423.85,14.62,21.61,552.2,2388.25,9052.52,1.3,48.07,520.6,2388.22,8130.3,8.4859,0.03,394,2388,100,38.6,23.1417
0.0009,0.0004,100,518.67,643.57,1594.94,1425.63,14.62,21.61,551.81,2388.22,9052.95,1.3,47.99,519.88,2388.2,8126.41,8.5064,0.03,395,2388,100,38.7,23.0396
0.0006,-0.0004,100,518.67,643.89,1603.64,1420.49,14.62,21.61,551.62,2388.21,9053.18,1.3,47.98,520.37,2388.27,8125.17,8.5096,0.03,395,2388,100,38.84,23.1285
-0.0018,0.0002,100,518.67,643.27,1596.4,1422.57,14.62,21.61,551.71,2388.27,9055.57,1.3,47.93,520.53,2388.29,8124.42,8.5058,0.03,395,2388,100,38.59,23.1281
0.0054,0.0004,100,518.67,642.8,1603.25,1424.42,14.62,21.61,551.83,2388.18,9047.06,1.3,48.04,519.74,2388.24,8124.34,8.5218,0.03,396,2388,100,38.68,23.0606
-0.0005,-0.0001,100,518.67,643.15,1604.84,1423.18,14.62,21.61,552.61,2388.24,9051.99,1.3,48.04,519.7,2388.24,8123.57,8.512,0.03,395,2388,100,38.47,23.187
-0.0018,0,100,518.67,643.57,1597.03,1427.08,14.62,21.61,552,2388.25,9048.33,1.3,48.15,519.65,2388.27,8124.93,8.5178,0.03,397,2388,100,38.53,23.1689
0.0012,0.0003,100,518.67,643.34,1600.06,1428.82,14.62,21.61,551.95,2388.22,9043.48,1.3,48.13,519.98,2388.23,8122.37,8.5058,0.03,396,2388,100,38.51,23.0683
0.0036,-0.0001,100,518.67,643.47,1596.47,1426.32,14.62,21.61,551.6,2388.26,9049.29,1.3,48.07,519.62,2388.27,8131.43,8.487,0.03,396,2388,100,38.41,23.0691
-0.0021,-0.0005,100,518.67,643.74,1595.02,1422.34,14.62,21.61,551.63,2388.3,9050.8,1.3,48.03,519.35,2388.27,8126.9,8.5065,0.03,397,2388,100,38.68,23.1159
0.0006,0,100,518.67,643.35,1599.78,1430.09,14.62,21.61,551.47,2388.25,9049.91,1.3,48.13,520.19,2388.23,8119.49,8.5055,0.03,396,2388,100,38.38,23.0649
-0.0039,0,100,518.67,643.92,1601.68,1432.67,14.62,21.61,551.87,2388.32,9052.6,1.3,48.11,520.09,2388.28,8125.93,8.4973,0.03,396,2388,100,38.74,23.1092
-0.0005,-0.0002,100,518.67,643.75,1601.06,1425.82,14.62,21.61,551.98,2388.28,9044.15,1.3,47.87,520.17,2388.26,8129.82,8.4904,0.03,395,2388,100,38.53,23.1741
0.0038,0.0004,100,518.67,643.11,1595.93,1428.5,14.62,21.61,551.6,2388.26,9046.57,1.3,48.08,519.67,2388.24,8121.62,8.5257,0.03,396,2388,100,38.51,23.0315
0.0014,0.0002,100,518.67,643.47,1596.99,1430.04,14.62,21.61,550.78,2388.31,9056.38,1.3,48.17,520.01,2388.26,8120.41,8.4948,0.03,394,2388,100,38.57,22.99
0.0013,0.0002,100,518.67,643.31,1604.62,1425.42,14.62,21.61,550.83,2388.28,9039.43,1.3,48.06,519.87,2388.23,8120.38,8.4983,0.03,395,2388,100,38.24,23.02
0.0003,-0.0004,100,518.67,644.71,1598.6,1428.87,14.62,21.61,551.11,2388.29,9048.4,1.3,48.38,519.21,2388.28,8118.95,8.5248,0.03,394,2388,100,38.46,23.1486
-0.0002,0.0001,100,518.67,643.74,1604.53,1429.14,14.62,21.61,551.14,2388.28,9048.54,1.3,48.31,519.67,2388.27,8120.95,8.5563,0.03,396,2388,100,38.63,23.1409
0.0008,-0.0005,100,518.67,643.91,1604.54,1435.27,14.62,21.61,550.92,2388.36,9041.33,1.3,48.26,519.45,2388.33,8122.26,8.514,0.03,395,2388,100,38.25,23.0186
0.0022,0.001,100,518.67,643.2,1593.53,1412.73,14.62,21.61,552.52,2388.19,9050.32,1.3,47.72,520.83,2388.17,8118.54,8.4839,0.03,395,2388,100,38.68,23.1723
9.9997,0.25,100,489.05,605.55,1509.58,1314.32,10.52,15.5,393.32,2319.1,8770.66,1.26,45.62,371.38,2388.24,8115.15,8.6907,0.03,370,2319,100,28.53,17.1361
9.9986,0.25,100,489.05,604.98,1506.65,1317.4,10.52,15.5,393.8,2319.04,8772.52,1.26,45.66,371.01,2388.27,8116.45,8.6898,0.03,371,2319,100,28.46,16.9876
10.0027,0.25,100,489.05,605.43,1508.52,1322.85,10.52,15.5,394.49,2319.1,8771.46,1.26,45.68,370.61,2388.25,8111.44,8.6957,0.03,370,2319,100,28.45,17.0218
10.0016,0.25,100,489.05,605.29,1505.97,1322,10.52,15.5,393.67,2319.06,8769.76,1.26,45.86,370.67,2388.28,8113.47,8.6882,0.03,371,2319,100,28.26,17.1058
10.0068,0.25,100,489.05,605.52,1506.03,1321.94,10.52,15.5,393.62,2319.08,8768.38,1.26,45.63,370.43,2388.3,8115.86,8.7092,0.03,372,2319,100,28.2,17.0391
42.0009,0.8413,100,445,550.32,1361.03,1136.74,3.91,5.71,138.52,2211.48,8307.88,1.02,42.47,129.9,2387.57,8072.92,9.447,0.02,332,2212,100,10.58,6.3268
0.001,0,100,518.67,643.5,1596.75,1429.85,14.62,21.61,552.66,2388.21,9042.86,1.3,47.78,520.2,2388.2,8123.2,8.5001,0.03,395,2388,100,38.51,23.1842
42.0025,0.8415,100,445,550.37,1356.87,1133.21,3.91,5.71,137.95,2211.6,8310.3,1.02,42.25,130.53,2387.63,8064.28,9.4011,0.02,333,2212,100,10.28,6.3022
10.0072,0.25,100,489.05,605.49,1508,1317.97,10.52,15.5,393.68,2319.05,8765.23,1.26,45.93,371.21,2388.34,8112.82,8.7107,0.03,372,2319,100,28.26,17.0479
10.0005,0.2513,100,489.05,605.66,1511.76,1317.62,10.52,15.5,393.67,2319.08,8769.39,1.26,45.9,370.62,2388.32,8116.16,8.7544,0.03,372,2319,100,28.35,17.0128
0.0013,0.0012,100,518.67,643.61,1592.82,1423.9,14.62,21.61,551.97,2388.27,9043.86,1.3,48.1,519.7,2388.29,8115.06,8.4769,0.03,394,2388,100,38.6,23.1136
42.003,0.84,100,445,550.58,1354.45,1139.25,3.91,5.72,138.17,2211.47,8312.98,1.02,42.59,129.71,2387.47,8066.83,9.4337,0.02,332,2212,100,10.56,6.3021
9.9999,0.25,100,489.05,605.67,1509.26,1327.95,10.52,15.5,393.48,2319.12,8765.8,1.26,46,371.17,2388.33,8116,8.7252,0.03,372,2319,100,28.29,16.9521
0.0019,0.0015,100,518.67,643.85,1594.92,1421.77,14.62,21.61,551.81,2388.26,9031.76,1.3,48.17,519.87,2388.28,8119.36,8.4502,0.03,395,2388,100,38.56,23.0953
0.0021,0,100,518.67,643.73,1604.63,1424.66,14.62,21.61,552.61,2388.26,9034.68,1.3,48.1,519.91,2388.25,8121.76,8.4887,0.03,397,2388,100,38.47,23.1096
